Players,Team,Possessions,SQ PPP,SQ PPP Rank,Good_Possession_Rate,Bad_Possession_Rate,Rim_and_3_rate,Assists_per_game,Actual_Win_Percentage,SQ_Assists_per_game,SQ_Passing_Points_Created_per_game
"Keeyan Itejere","Marquette",6,1.75,0.998953537,1,0,0.8,0,,"",""
"Pierre Geneste","Louisiana Tech",4,1.74,0.9987442445,1,0,1,0,,"",""
"Jamel Melvin","Northern Colorado",2,1.66,0.9985349519,1,0,"N/A",1,,"",""
"Jeffrey Yan","Long Beach St.",2,1.62,0.9983256593,1,0,"N/A",0.5,,"",""
"Chase Courbat","Northern Iowa",2,1.61,0.9979070741,1,0,"N/A",0,,"",""
"Kamarie Coffey","Austin Peay",2,1.61,0.9979070741,1,0,"N/A",0,,"",""
"Jaden Geron","Rice",2,1.59,0.9976977815,1,0,"N/A",0,,"",""
"Matthew Marsh","Wake Forest",98,1.57,0.9974884889,0.825,0.0666666667,0.962962963,0.3,,"",""
"Kellen Thames","Saint Louis",2,1.56,0.9972791963,1,0,"N/A",0,,"",""
"Brenen Lorient","Florida Atlantic",9,1.54,0.9968606111,0.7777777778,0.1111111111,0.8888888889,0,,"",""
"Ernest Udeh Jr.","Kansas",40,1.54,0.9970699037,0.8571428571,0.0612244898,0.8484848485,0.4,,"",""
"Avaughn  Johnson","Jackson St.",4,1.53,0.9962327334,0.8333333333,0.1666666667,1,1,,"",""
"Colby Brooks","Gonzaga",5,1.53,0.996442026,0.75,0,1,0,,"",""
"Mohamed Keita","St. John's",3,1.53,0.9966513185,0.6666666667,0.3333333333,0.6666666667,0,,"",""
"Joe Moon","Bryant",2,1.52,0.9960234408,0.6666666667,0,1,0.3,,"",""
"Braxton Meah","Washington",167,1.48,0.9949769778,0.7582938389,0.1327014218,0.8796992481,0.7,,"",""
"Dante Eldridge","Iowa",3,1.48,0.9951862704,0.75,0.25,1,1,,"",""
"Josiah Davis","West Virginia",6,1.48,0.9956048556,0.7777777778,0,0.6666666667,0.2,,"",""
"KJ Hymes","Nevada",15,1.48,0.995395563,0.8695652174,0,1,0.3,,"",""
"Zuby Ejiofor","Kansas",23,1.48,0.9958141482,0.7407407407,0.0740740741,1,0.3,,"",""
"Caelum Swanton-Rodger","Maryland",11,1.46,0.9943491,0.7857142857,0,1,0,,"",""
"Touba Traore","Niagara",5,1.46,0.9945583926,0.8571428571,0,1,0.5,,"",""
"Jay Yoon","Pepperdine",5,1.45,0.9941398075,0.6666666667,0.1666666667,0.75,0,,"",""
"Sebastian Forsling","New Mexico",18,1.44,0.9939305149,0.7916666667,0.125,0.9230769231,0.3,,"",""
"Stephen Burggraf","Liberty",3,1.44,0.9937212223,0.8,0,1,0,,"",""
"Mike Piwko","Holy Cross",4,1.43,0.9935119297,0.8571428571,0,1,0,,"",""
"Vernon Collins","Princeton",2,1.42,0.9933026371,1,0,1,0.5,,"",""
"Kaodirichi Akobundu-Ehiogu","Memphis",52,1.41,0.9930933445,0.7014925373,0.1492537313,0.925,0.2,,"",""
"Alex Anamekwe","Texas",13,1.4,0.9920468815,0.4615384615,0.0769230769,1,0.2,,"",""
"Chris Payton","Kent St.",87,1.4,0.9926747593,0.6902654867,0.1150442478,0.9090909091,0.4,,"",""
"Elijah Muhammad","Seton Hall",3,1.4,0.9922561741,0.6666666667,0,1,0,,"",""
"Jaren Nafarrete","Seattle",2,1.4,0.9928840519,0.5,0.5,0.5,0,,"",""
"John Shanu","UT Rio Grande Valley",28,1.4,0.9914190038,0.7777777778,0.1111111111,0.9545454545,0.5,,"",""
"Noble Crawford","LIU",9,1.4,0.9916282964,0.7272727273,0.1818181818,0.7142857143,1,,"",""
"Yves Nkomba","Kennesaw St.",3,1.4,0.9924654667,0.8,0,1,0,,"",""
"Chris Rubayo","Lafayette",9,1.39,0.9905818334,0.7692307692,0.0769230769,0.8333333333,1,,"",""
"Greg Cooper","Harvard",4,1.39,0.9901632482,0.5,0.25,0.75,0,,"",""
"Jaxon Ellingsworth","East Carolina",2,1.39,0.9903725408,0.5,0,1,0,,"",""
"Machai Nelson","Hartford",9,1.39,0.9912097112,0.9411764706,0,1,0.2,,"",""
"Rick Issanza","Loyola Marymount",65,1.39,0.990791126,0.7272727273,0.0909090909,0.9821428571,0.3,,"",""
"Seth Pinkney","FIU",61,1.39,0.9910004186,0.7534246575,0.0684931507,0.9230769231,0.2,,"",""
"Christian Fermin","VCU",7,1.38,0.9893260779,0.9230769231,0,1,0,,"",""
"Goanar Biliew","Bradley",9,1.38,0.9891167853,0.6923076923,0.0769230769,1,1.3,,"",""
"Matt Dove","Army",28,1.38,0.9895353704,0.6470588235,0.1470588235,1,0.2,,"",""
"Nick Pringle","Alabama",54,1.38,0.989744663,0.8243243243,0.027027027,0.9487179487,0.4,,"",""
"Nick Townsend","Yale",5,1.38,0.9889074927,0.7142857143,0.1428571429,1,0.2,,"",""
"Sam Onu","Florida Gulf Coast",9,1.38,0.9899539556,0.8461538462,0,0.6666666667,0.2,,"",""
"Christian Reeves","Duke",10,1.37,0.9884889075,0.8461538462,0.0769230769,0.8571428571,0.2,,"",""
"Kadin Shedrick","Virginia",106,1.37,0.9886982001,0.6764705882,0.1617647059,0.8414634146,0.7,,"",""
"Scottie Ebube","Southern Illinois",31,1.37,0.9882796149,0.7,0.1,0.875,0.1,,"",""
"Will Shaver","North Carolina",2,1.37,0.9880703223,0.6666666667,0,1,0.5,,"",""
"Akrum Ahemed","UNC Greensboro",2,1.36,0.9868145668,0.6666666667,0,1,0,,"",""
"Dereck Lively","Duke",103,1.36,0.986186689,0.6470588235,0.1680672269,0.9555555556,1.1,,"",""
"Hason Ward","Iowa St.",43,1.36,0.9863959816,0.6086956522,0.1739130435,0.9,0.4,,"",""
"Imanuel Zorgvol","Northern Kentucky",51,1.36,0.9870238594,0.6551724138,0.2068965517,0.8666666667,0.1,,"",""
"Jamarion Sharp","Western Kentucky",136,1.36,0.9878610297,0.3539325843,0.1460674157,0.7766990291,0.2,,"",""
"Jeff Grace","Nebraska",4,1.36,0.9872331519,0.8333333333,0,1,0.2,,"",""
"Matthew Nicholson","Northwestern",148,1.36,0.9874424445,0.734375,0.0729166667,0.9380530973,1.3,,"",""
"Shaysten Cornish","UT Arlington",4,1.36,0.9866052742,0.8571428571,0.1428571429,1,2,,"",""
"Alex Wade","Notre Dame",2,1.35,0.9855588112,0.75,0,1,0,,"",""
"Brandon Haddock","Utah",2,1.35,0.9838844705,1,0,1,0,,"",""
"David Acosta","Tennessee St.",60,1.35,0.9859773964,0.7402597403,0.0909090909,0.914893617,0.3,,"",""
"Harvin Ibarguen","Northern Illinois",96,1.35,0.9857681038,0.6146788991,0.1651376147,0.9302325581,0.4,,"",""
"Henri Veesaar","Arizona",49,1.35,0.9836751779,0.593220339,0.0847457627,0.9268292683,0.8,,"",""
"Ja'vier Francis","Houston",101,1.35,0.9849309334,0.6504065041,0.1463414634,0.869047619,0.1,,"",""
"Maliq Brown","Syracuse",111,1.35,0.985140226,0.6220472441,0.1496062992,0.9696969697,0.9,,"",""
"Mohamed Sanogo","FIU",131,1.35,0.9853495186,0.6898734177,0.1202531646,0.8990825688,0.7,,"",""
"Olugbemi Joseph","Towson",3,1.35,0.9840937631,0.8,0,1,0.3,,"",""
"Rafael Castro","Providence",39,1.35,0.9845123483,0.6666666667,0.0833333333,0.9375,0.4,,"",""
"Szymon Zapala","Utah St.",4,1.35,0.9834658853,0.8,0,0.6666666667,0,,"",""
"Trey Hicks","Longwood",2,1.35,0.9847216409,0.6666666667,0,1,0,,"",""
"Chase Beasley","Air Force",4,1.34,0.9832565927,0.8,0,1,0.3,,"",""
"Mady Traore","New Mexico St.",9,1.34,0.9830473001,0.6666666667,0.25,1,0,,"",""
"Mylyjael Poteat","Virginia Tech",71,1.34,0.9826287149,0.6862745098,0.1176470588,0.829787234,0.3,,"",""
"Riley Mulvey","Iowa",11,1.34,0.9828380075,0.5833333333,0.3333333333,0.9,0.4,,"",""
"Aidan Shaw","Missouri",60,1.33,0.980535789,0.5074626866,0.1492537313,0.9636363636,0.2,,"",""
"Alexander Derkits","St. Francis PA",2,1.33,0.9807450816,0.5,0.5,1,0,,"",""
"Arman Pezeshkian","Cal St. Northridge",16,1.33,0.981582252,0.72,0.16,0.7777777778,0.5,,"",""
"Buay Koka","Detroit",22,1.33,0.9803264964,0.5416666667,0.2083333333,0.7619047619,0.1,,"",""
"Donovan Clingan","Connecticut",161,1.33,0.9820008372,0.6831683168,0.1188118812,0.9296875,0.4,,"",""
"Emmanuel Dowuona","Tennessee St.",12,1.33,0.9822101298,0.6875,0.125,0.75,0.1,,"",""
"Eric Mulder","Purdue Fort Wayne",41,1.33,0.9824194224,0.6964285714,0.125,0.9666666667,0,,"",""
"Kevin Simeth","San Jose St.",3,1.33,0.9809543742,0.8,0,1,0,,"",""
"Landon Lewis","Brown",22,1.33,0.9799079113,0.6071428571,0.1071428571,0.8823529412,0.3,,"",""
"Mor Seck","Hawaii",29,1.33,0.9801172039,0.7380952381,0.119047619,0.7777777778,0,,"",""
"Moses Bol","Milwaukee",44,1.33,0.9817915446,0.6153846154,0.1538461538,0.9473684211,0.2,,"",""
"Trent Coleman","North Florida",12,1.33,0.9813729594,0.7368421053,0.1578947368,0.8571428571,0,,"",""
"Adrame Diongue","Washington St.",26,1.32,0.9792800335,0.6285714286,0.1428571429,0.8947368421,0.4,,"",""
"Aziz Bandaogo","Utah Valley",217,1.32,0.9794893261,0.6739130435,0.152173913,0.8070175439,1.1,,"",""
"Donovan Dent","New Mexico",128,1.32,0.9773964002,0.6707317073,0.1280487805,0.8585858586,2.3,,"",""
"Ifeanyi Ufochukwu","Rice",5,1.32,0.9782335705,0.8571428571,0.1428571429,0.6666666667,0,,"",""
"Jerome Beya","Tennessee Tech",35,1.32,0.9778149853,0.5641025641,0.1794871795,1,0.4,,"",""
"Kaleb Banks","Indiana",37,1.32,0.9784428631,0.6862745098,0.137254902,0.9230769231,0.7,,"",""
"Logan Stephens","Rutgers",5,1.32,0.9786521557,0.5714285714,0.1428571429,1,0.3,,"",""
"Mack Anderson","Montana",31,1.32,0.9771871076,0.7272727273,0.2045454545,0.8095238095,0.7,,"",""
"Michael Walz","Richmond",4,1.32,0.9776056928,0.6666666667,0.1666666667,0.6666666667,1.7,,"",""
"Nate Ferguson","Drake",47,1.32,0.9788614483,0.6166666667,0.15,0.9722222222,0.3,,"",""
"Quincy Ballard","Wichita St.",20,1.32,0.9790707409,0.7857142857,0.1785714286,0.9285714286,0.1,,"",""
"Sage Tolentino","Cincinnati",3,1.32,0.9780242779,0.5,0,1,0,,"",""
"Sam Godwin","Oklahoma",109,1.32,0.9796986187,0.6315789474,0.1203007519,0.9450549451,0.5,,"",""
"Bryan Etumnu","Merrimack",6,1.31,0.9763499372,0.8,0.2,1,0.4,,"",""
"Carson Cooper","Michigan St.",29,1.31,0.976977815,0.6666666667,0.1111111111,0.9130434783,0.1,,"",""
"Felix Okpara","Ohio St.",77,1.31,0.9753034743,0.6590909091,0.2045454545,0.8235294118,0.3,,"",""
"Josh Ogundele","Iowa",15,1.31,0.9746755965,0.6842105263,0.1052631579,0.9166666667,0.8,,"",""
"Luc Krystkowiak","Arizona",2,1.31,0.9757220594,0.6666666667,0,1,1,,"",""
"Luka Tarlac","Utah",12,1.31,0.9767685224,0.6428571429,0,0.9090909091,0.4,,"",""
"Oleg Kojenets","Nebraska",8,1.31,0.9765592298,0.7272727273,0.1818181818,1,0,,"",""
"Souleymane Doumbia","TCU",18,1.31,0.9750941817,0.6666666667,0.1428571429,0.9333333333,0.1,,"",""
"Toibu Lawal","VCU",29,1.31,0.9761406446,0.7368421053,0.1052631579,0.9545454545,0.2,,"",""
"Tre Green","Middle Tennessee",4,1.31,0.9748848891,0.7142857143,0.1428571429,1,0,,"",""
"Volodymyr Markovetskyy","San Francisco",53,1.31,0.975931352,0.6338028169,0.0422535211,0.8461538462,0.3,,"",""
"Zach Wrightsil","Marquette",6,1.31,0.9755127668,0.3333333333,0.3333333333,0.6666666667,1,,"",""
"Adem Bona","UCLA",155,1.3,0.9711176224,0.6073298429,0.1465968586,0.8888888889,0.9,,"",""
"Birima Seck","New Mexico",16,1.3,0.9732105483,0.7368421053,0.0526315789,0.8461538462,0.4,,"",""
"Bryan Penn-Johnson","Cal Poly",69,1.3,0.9734198409,0.5526315789,0.2631578947,0.7619047619,0.1,,"",""
"Darion Jordan-Thomas","UMass Lowell",10,1.3,0.9706990373,0.5,0.1666666667,0.8888888889,0.1,,"",""
"Davion Bradford","Wake Forest",49,1.3,0.9742570113,0.6769230769,0.0923076923,0.8888888889,0.2,,"",""
"Dorion Staples","SIU Edwardsville",3,1.3,0.9704897447,0.3333333333,0.3333333333,1,0,,"",""
"Giovanni Emejuru","Sam Houston St.",7,1.3,0.9736291335,0.5,0.25,0.7142857143,0,,"",""
"Julian Larry","Indiana St.",141,1.3,0.9715362076,0.5438596491,0.0760233918,0.9745762712,3.4,,"",""
"KK Curry","Tennessee Martin",153,1.3,0.9709083298,0.5824742268,0.1958762887,0.9421487603,0.4,,"",""
"Kris Bankston","Norfolk St.",209,1.3,0.9740477187,0.6171875,0.21484375,0.7558139535,1,,"",""
"Luke Hunger","Northwestern",16,1.3,0.9744663039,0.6315789474,0.0526315789,1,0.2,,"",""
"Maxwell Lorca","Penn",58,1.3,0.9738384261,0.6756756757,0.1486486486,0.8260869565,1.2,,"",""
"Mohamed Wague","West Virginia",82,1.3,0.9721640854,0.6728971963,0.1028037383,0.935483871,0.3,,"",""
"Nana Antwi-Boasiako","Stephen F. Austin",141,1.3,0.971326915,0.5989583333,0.21875,0.7227722772,1,,"",""
"Nate Heise","Northern Iowa",13,1.3,0.9730012558,0.5,0.125,1,1,,"",""
"PJ Haggerty","TCU",13,1.3,0.9727919632,0.6666666667,0.1666666667,0.6666666667,1.7,,"",""
"Snookey Wigington","Nevada",3,1.3,0.9725826706,0.8,0.2,1,0,,"",""
"Solomon Washington","Texas A&M",65,1.3,0.9719547928,0.5609756098,0.1097560976,0.9411764706,0.4,,"",""
"Tyrone Marshall","Western Kentucky",63,1.3,0.9717455002,0.4782608696,0.1449275362,0.9482758621,0.5,,"",""
"Adou Thiero","Kentucky",30,1.29,0.9673503558,0.6444444444,0.0888888889,0.9444444444,0.5,,"",""
"Cameron Fens","Illinois Chicago",67,1.29,0.9675596484,0.6853932584,0.0561797753,0.86,0.3,,"",""
"Cortez Johnson","UNC Greensboro",13,1.29,0.9683968188,0.625,0.125,1,0,,"",""
"Even Brauns","Belmont",165,1.29,0.9698618669,0.5692307692,0.1384615385,0.8873239437,1.2,,"",""
"Federiko Federiko","Pittsburgh",140,1.29,0.9700711595,0.5903614458,0.186746988,0.9333333333,0.6,,"",""
"Imhotep George","Eastern Washington",8,1.29,0.9692339891,0.5454545455,0.1818181818,1,0,,"",""
"Jadin Johnson","Old Dominion",2,1.29,0.9694432817,0.6666666667,0,1,0,,"",""
"Mason Hanback","Southeast Missouri St.",8,1.29,0.9681875262,0.4444444444,0.2222222222,0.8571428571,0,,"",""
"Michael Wardy","Eastern Kentucky",19,1.29,0.9679782336,0.5217391304,0.0434782609,0.9375,0,,"",""
"Peyton Urbancic","Tulsa",6,1.29,0.9690246965,0.625,0.125,1,0,,"",""
"Riley Berkoff","UNC Wilmington",2,1.29,0.9696525743,0.6666666667,0,1,0,,"",""
"Shaquan Jules","Radford",123,1.29,0.9702804521,0.6258064516,0.1096774194,0.9690721649,0.4,,"",""
"Shawn Phillips","LSU",13,1.29,0.9688154039,0.7647058824,0.1176470588,0.8,0.5,,"",""
"Tony Toney","UAB",72,1.29,0.967768941,0.5444444444,0.2333333333,0.8596491228,0.6,,"",""
"Amar Augillard","Georgia Southern",9,1.28,0.9650481373,0.4,0.2,1,0,,"",""
"Anton Jansson","Saint Joseph's",3,1.28,0.9644202595,0.8,0.2,1,1,,"",""
"Charles Chukwu","Tulsa",23,1.28,0.9656760151,0.5862068966,0.1724137931,1,0,,"",""
"David Dixon","Duquesne",77,1.28,0.9652574299,0.5869565217,0.1956521739,0.8333333333,0.5,,"",""
"DJ Basey","Coastal Carolina",31,1.28,0.9671410632,0.6829268293,0.1707317073,0.875,0.2,,"",""
"Dorian Hill","New Orleans",2,1.28,0.9648388447,0.6666666667,0,1,0.5,,"",""
"Jalen Pitre","Pepperdine",69,1.28,0.966722478,0.5,0.1447368421,0.9206349206,0.3,,"",""
"Keither Florence","Iona",7,1.28,0.9663038928,0.5555555556,0.1111111111,0.8333333333,1,,"",""
"Kyle Cuffe","Kansas",3,1.28,0.9654667225,0.75,0,0.5,0,,"",""
"Lance Ware","Kentucky",43,1.28,0.9665131854,0.6727272727,0.1272727273,0.9117647059,0.9,,"",""
"Naheem Mcleod","Florida St.",94,1.28,0.9646295521,0.6363636364,0.2545454545,0.7530864198,0.2,,"",""
"Nick Kern","VCU",106,1.28,0.9669317706,0.4958677686,0.2231404959,0.9468085106,0.6,,"",""
"Niko Rocak","UC Davis",51,1.28,0.9660946003,0.6666666667,0.0555555556,1,0.3,,"",""
"Steven Jamerson II","San Diego",20,1.28,0.9658853077,0.5652173913,0,1,0.2,,"",""
"Austin Rotroff","Duquesne",108,1.27,0.9619087484,0.6449275362,0.1231884058,0.9058823529,0.5,,"",""
"Blake Preston","Liberty",134,1.27,0.9623273336,0.5776397516,0.2111801242,0.9292035398,1.5,,"",""
"Caleb Stearman","Utah Tech",4,1.27,0.962118041,0.5,0.25,1,0,,"",""
"Charles Bediako","Alabama",134,1.27,0.9640016743,0.6012658228,0.1392405063,0.9655172414,0.6,,"",""
"Doctor Bradley","New Mexico St.",95,1.27,0.9633737966,0.4867256637,0.1504424779,0.8641975309,0.6,,"",""
"Elijah Brooks","North Dakota",83,1.27,0.9612808707,0.5480769231,0.1826923077,0.9393939394,0.6,,"",""
"Frank Anselem","Georgia",77,1.27,0.9625366262,0.6288659794,0.1958762887,0.7049180328,0.3,,"",""
"Halil Barre","Duquesne",28,1.27,0.963164504,0.5161290323,0.1935483871,0.96,0,,"",""
"Justin Amadi","James Madison",105,1.27,0.9627459188,0.6030534351,0.1526717557,0.9523809524,0.4,,"",""
"Karl Jones","UNLV",3,1.27,0.9637923817,0.75,0.25,1,0,,"",""
"Michael Graham","Loyola Marymount",90,1.27,0.9629552114,0.5631067961,0.1067961165,0.8481012658,0.4,,"",""
"Pelle Larsson","Arizona",229,1.27,0.9642109669,0.4881355932,0.1559322034,0.8820224719,3,,"",""
"Sola Adebisi","Florida St.",3,1.27,0.9614901632,0.75,0,1,0,,"",""
"TJ Grant","Mercer",25,1.27,0.9635830892,0.6470588235,0.1470588235,0.9444444444,0.6,,"",""
"Tommie Lewis","Texas A&M Commerce",91,1.27,0.9616994558,0.380952381,0.0952380952,0.9,1.1,,"",""
"Ahmad Rand","Milwaukee",154,1.26,0.9600251151,0.5611111111,0.2111111111,0.8134328358,0.5,,"",""
"Aiden Terry","Rutgers",5,1.26,0.9583507744,0.3333333333,0,0.8,0.8,,"",""
"AJ Casey","Miami FL",26,1.26,0.9579321892,0.5454545455,0.2727272727,0.9047619048,0.2,,"",""
"Aj Edu","Toledo",66,1.26,0.958560067,0.5795454545,0.1363636364,0.8958333333,0.4,,"",""
"Andrew Akuchie","Rice",19,1.26,0.9610715781,0.6785714286,0.1071428571,0.9166666667,0.6,,"",""
"Bryson Dawkins","North Alabama",45,1.26,0.9581414818,0.5714285714,0.2321428571,0.9722222222,0.3,,"",""
"Cameron Parker","Portland St.",336,1.26,0.9570950188,0.5572687225,0.1894273128,0.8237704918,6.2,,"",""
"Chris Cole","Morehead St.",4,1.26,0.9608622855,0.6666666667,0,1,1,,"",""
"Daniel Akin","Utah St.",243,1.26,0.9604437003,0.6349693252,0.1503067485,0.9265536723,0.8,,"",""
"Daniel Batcho","Texas Tech",136,1.26,0.957513604,0.6162790698,0.1976744186,0.8317757009,1.4,,"",""
"Deven Austin","Princeton",85,1.26,0.9596065299,0.5360824742,0.2164948454,0.8947368421,0.8,,"",""
"Handje Tamba","Weber St.",23,1.26,0.9587693596,0.5555555556,0.2962962963,0.9,0.1,,"",""
"Isaiah Cozart","Eastern Kentucky",184,1.26,0.9589786522,0.5622119816,0.202764977,0.8860759494,0.2,,"",""
"Kaleb Washington","Dayton",3,1.26,0.9602344077,0.6,0,1,0,,"",""
"Langston Wilson","Washington",22,1.26,0.9598158225,0.5,0.2272727273,0.9090909091,0.1,,"",""
"Laolu Oke","Montana",27,1.26,0.9573043114,0.5454545455,0.1515151515,0.8695652174,0.3,,"",""
"Miles Byrd","San Diego St.",5,1.26,0.9593972373,0.5,0.1666666667,0.75,0,,"",""
"Tim Uzoegbu","Boston University",2,1.26,0.9577228966,0.6666666667,0,1,0,,"",""
"Tyreek Smith","Oklahoma St.",100,1.26,0.9591879447,0.6015625,0.15625,0.8846153846,0.3,,"",""
"Ahjany Lee","St. Thomas",124,1.25,0.9566764337,0.5592105263,0.1776315789,0.6568627451,0.5,,"",""
"Cade Hornecker","Southern Illinois",9,1.25,0.9545835077,0.5454545455,0.2727272727,0.8571428571,0.2,,"",""
"Connor Serven","Illinois",2,1.25,0.9554206781,0.6666666667,0,1,0,,"",""
"Dylan Cardwell","Auburn",76,1.25,0.9547928003,0.6206896552,0.1724137931,0.8358208955,1.3,,"",""
"Francisco Caffaro","Virginia",18,1.25,0.9562578485,0.64,0.08,0.8461538462,0.1,,"",""
"Fredrick King","Creighton",83,1.25,0.9526998744,0.5567010309,0.1958762887,0.9166666667,0.2,,"",""
"Gavin Baxter","Utah",11,1.25,0.9550020929,0.6428571429,0.1428571429,0.875,0.2,,"",""
"Isaiah Gaines","Florida Atlantic",29,1.25,0.9522812892,0.6,0.15,0.85,0.4,,"",""
"Ja'von Franklin","Georgia Tech",179,1.25,0.9537463374,0.5523809524,0.2619047619,0.8181818182,1.8,,"",""
"Jason Whitens","Michigan St.",6,1.25,0.9535370448,0.3333333333,0.1666666667,0.8333333333,0.5,,"",""
"Jayden Brewer","FIU",18,1.25,0.952909167,0.4,0.25,0.9375,0.4,,"",""
"Jubrile Belo","Montana St.",238,1.25,0.9556299707,0.569579288,0.2686084142,0.7912087912,1,,"",""
"Kyle Legreair","Detroit",35,1.25,0.9541649226,0.5111111111,0.0666666667,0.9642857143,2.2,,"",""
"Mady Sissoko","Michigan St.",114,1.25,0.9531184596,0.64,0.2266666667,0.6511627907,0.5,,"",""
"Max Egner","St. Francis NY",3,1.25,0.9564671411,0.5,0,1,0,,"",""
"Michael  Moore","Winthrop",14,1.25,0.9543742152,0.5625,0.125,0.9166666667,0.3,,"",""
"Morris Udeze","New Mexico",342,1.25,0.9514441189,0.5770114943,0.1885057471,0.8327137546,1.4,,"",""
"Moulaye Sissoko","North Texas",19,1.25,0.9518627041,0.5,0.1818181818,0.875,0.3,,"",""
"Nik Stadelman","Illinois St.",3,1.25,0.95395563,0.5,0,1,0.7,,"",""
"Oliver Lynch-Daniels","Colgate",233,1.25,0.9533277522,0.6163265306,0.1714285714,0.8392857143,2.3,,"",""
"Pharrel Payne","Minnesota",156,1.25,0.9552113855,0.6262135922,0.1019417476,0.9482758621,1.4,,"",""
"Ryan Kalkbrenner","Creighton",251,1.25,0.9568857262,0.5384615385,0.1973244147,0.8411214953,1.4,,"",""
"Sidy Diallo","UMKC",6,1.25,0.9520719967,0.5,0.125,0.6,0,,"",""
"Silas Mason","UNC Asheville",12,1.25,0.9524905818,0.7777777778,0.1666666667,0.8571428571,0.2,,"",""
"Steven Ashworth","Utah St.",327,1.25,0.9516534115,0.5267175573,0.1450381679,0.8079710145,4.5,,"",""
"Taviontae Jackson","Colorado St.",93,1.25,0.9512348263,0.4537037037,0.2407407407,0.9390243902,2.5,,"",""
"Abayomi Iyiola","Kansas St.",76,1.24,0.9457932189,0.5360824742,0.2474226804,0.8333333333,0.5,,"",""
"Akiva McBirney-Griffin","UC Irvine",41,1.24,0.9472582671,0.5,0.0576923077,0.9696969697,0.7,,"",""
"Byron Brown","Air Force",4,1.24,0.9497697781,0.6666666667,0,1,0.5,,"",""
"Cameron Matthews","Mississippi St.",185,1.24,0.949351193,0.5442477876,0.2345132743,0.9803921569,2.2,,"",""
"Cameron Whiteside","Winthrop",11,1.24,0.9460025115,0.5,0.0714285714,1,0.5,,"",""
"Chauncey Hawkins","Bryant",39,1.24,0.9499790707,0.4,0.2444444444,0.8823529412,1.4,,"",""
"Chris Brandon","Northern Kentucky",139,1.24,0.9449560486,0.5597484277,0.1949685535,0.8861788618,0.7,,"",""
"Christian Brown","Tennessee St.",120,1.24,0.94830473,0.5454545455,0.1558441558,0.8924731183,0.3,,"",""
"Darius Hannah","Bradley",120,1.24,0.9491419004,0.3609022556,0.2406015038,0.7064220183,1.3,,"",""
"David Skogman","Davidson",151,1.24,0.9508162411,0.5297297297,0.1297297297,0.896,0.9,,"",""
"Deandre Smart","Elon",14,1.24,0.9503976559,0.619047619,0.0952380952,1,0.7,,"",""
"Derek Fountain","LSU",176,1.24,0.9453746337,0.5315315315,0.1801801802,0.8785714286,0.9,,"",""
"Dillon Mitchell","Texas",121,1.24,0.9474675596,0.5899280576,0.2158273381,0.7830188679,0.5,,"",""
"Favour Aire","Miami FL",10,1.24,0.9485140226,0.6428571429,0.3571428571,0.5714285714,0,,"",""
"Jalen Slawson","Furman",322,1.24,0.9476768522,0.5,0.1975,0.8352490421,3.5,,"",""
"Jason Spurgin","Southern Utah",180,1.24,0.9480954374,0.5398230088,0.1946902655,0.9652777778,1,,"",""
"Jayveous Mckinnis","Mississippi",122,1.24,0.9464210967,0.5782312925,0.156462585,0.8039215686,0.4,,"",""
"John Mikey Square","Cal St. Fullerton",49,1.24,0.9478861448,0.6164383562,0.1369863014,0.935483871,0.4,,"",""
"Josh Roberts","Manhattan",182,1.24,0.9487233152,0.5321100917,0.2844036697,0.8692810458,0.5,,"",""
"Kamani Johnson","Arkansas",42,1.24,0.944746756,0.6271186441,0.0508474576,0.9310344828,0.3,,"",""
"Kwane Marble","Loyola Marymount",46,1.24,0.9468396819,0.55,0.1166666667,0.9714285714,0.5,,"",""
"Lavell Brodnex","Wagner",6,1.24,0.9455839263,0.4285714286,0.1428571429,1,0,,"",""
"Max Allen","San Jose St.",8,1.24,0.9462118041,0.5454545455,0,0.8,0.6,,"",""
"Mikeal Brown-Jones","UNC Greensboro",207,1.24,0.9495604856,0.5390625,0.26953125,0.8224852071,0.6,,"",""
"Mohamed Sylla","Boise St.",21,1.24,0.9506069485,0.6071428571,0.1428571429,0.5625,0,,"",""
"Obinna Anyanwu","California",19,1.24,0.9501883633,0.5384615385,0.1153846154,0.9285714286,0.1,,"",""
"Oso Ighodaro","Marquette",257,1.24,0.9470489745,0.4641638225,0.2013651877,0.6113537118,3.3,,"",""
"Rocco Muratori","Stony Brook",27,1.24,0.9489326078,0.6285714286,0.1714285714,0.8,0.3,,"",""
"Ryan Dunn","Virginia",51,1.24,0.9451653411,0.5084745763,0.3220338983,0.8888888889,0.4,,"",""
"Taveion White","Binghamton",49,1.24,0.9466303893,0.7014925373,0.0895522388,0.9714285714,0.4,,"",""
"Warren Washington","Arizona St.",189,1.24,0.9510255337,0.5775862069,0.275862069,0.7225806452,1.6,,"",""
"Adam Cisse","Manhattan",64,1.23,0.9388865634,0.5581395349,0.1627906977,0.9565217391,0.6,,"",""
"Alex Kotov","Illinois St.",14,1.23,0.9405609041,0.4,0.1333333333,0.7142857143,0.9,,"",""
"Andersson Garcia","Texas A&M",66,1.23,0.9407701967,0.606741573,0.1123595506,0.9583333333,0.9,,"",""
"Cameron Alford","Utah Valley",46,1.23,0.9422352449,0.5714285714,0.3015873016,0.9375,0.6,,"",""
